cod_cliente;Escolaridade;Tem Filhos;Salário;Idade;Estado Civil;Profissão;Número de Cartões de Crédito;cod_estado
1;Fundamental;Sim;4561.18;42.16;Viúvo;Professor;3;10
2;Superior;Sim;7344.43;46.99;Solteiro;Outros;2;25
3;Fundamental;Não;5467.59;64.53;Solteiro;Empresário;3;12
4;Pós-Graduação;Não;1886.92;33.76;Divorciado;Professor;2;13
5;Superior;Não;9703.03;35.94;Viúvo;Médico;1;6
6;Fundamental;Não;1809.09;58.89;Solteiro;Outros;3;26
7;Fundamental;Sim;6403.55;51.51;Solteiro;Médico;0;14
8;Pós-Graduação;Sim;9883.71;66.72;Viúvo;Advogado;1;10
9;Superior;Não;1277.18;77.51;Casado;Outros;3;16
10;Superior;Não;2339.87;51.61;Viúvo;Médico;2;5
11;Fundamental;Sim;6960.81;78.66;Casado;Estudante;1;3
12;Médio;Não;6264.1;53.85;Solteiro;Outros;2;14
13;Médio;Não;9295.44;40.64;Viúvo;Estudante;0;22
14;Superior;Não;4777.42;20.17;Divorciado;Outros;2;3
15;Superior;Sim;2050.75;45.63;Viúvo;Artista;3;25
16;Médio;Sim;8973.23;20.91;Casado;Professor;3;5
17;Médio;Não;1016.19;63.25;Viúvo;Engenheiro;3;21
18;Fundamental;Não;1634.75;35.19;Viúvo;Engenheiro;0;19
19;Pós-Graduação;Sim;3915.0;27.58;Casado;Empresário;0;20
20;Fundamental;Sim;5469.9;79.04;Solteiro;Engenheiro;0;17
21;Pós-Graduação;Sim;7856.43;65.53;Viúvo;Professor;2;3
22;Fundamental;Sim;9816.35;58.67;Casado;Outros;2;27
23;Fundamental;Sim;1975.18;40.04;Viúvo;Outros;3;11
24;Superior;Não;3328.48;31.26;Solteiro;Engenheiro;1;20
25;Pós-Graduação;Não;4512.95;55.02;Solteiro;Advogado;1;23
26;Fundamental;Não;9820.07;26.28;Divorciado;Professor;2;12
27;Fundamental;Sim;2508.28;58.7;Solteiro;Outros;2;13
28;Fundamental;Sim;3705.96;38.57;Divorciado;Professor;0;2
29;Médio;Não;1992.2;74.85;Viúvo;Artista;1;12
30;Médio;Sim;5286.68;69.8;Divorciado;Médico;2;20
31;Fundamental;Sim;2431.88;40.2;Casado;Engenheiro;2;5
32;Superior;Sim;3284.82;43.07;Solteiro;Estudante;1;17
33;Pós-Graduação;Sim;9484.36;34.7;Solteiro;Outros;0;15
34;Pós-Graduação;Sim;9802.56;33.15;Viúvo;Engenheiro;3;24
35;Superior;Sim;6919.55;50.25;Solteiro;Outros;3;21
36;Pós-Graduação;Sim;3659.17;58.37;Casado;Engenheiro;1;19
37;Fundamental;Sim;5956.51;79.87;Solteiro;Empresário;3;25
38;Superior;Sim;5892.69;64.8;Solteiro;Empresário;0;9
39;Superior;Não;3162.27;22.4;Viúvo;Empresário;3;19
40;Pós-Graduação;Não;2352.29;63.84;Solteiro;Estudante;0;21
41;Médio;Sim;8960.47;36.1;Divorciado;Professor;1;22
42;Superior;Não;4859.9;33.46;Viúvo;Engenheiro;3;10
43;Fundamental;Não;7114.29;26.38;Solteiro;Estudante;1;12
44;Pós-Graduação;Sim;9598.29;57.76;Solteiro;Outros;1;17
45;Pós-Graduação;Sim;1069.67;69.76;Casado;Médico;2;14
46;Pós-Graduação;Não;9076.27;45.04;Divorciado;Outros;3;1
47;Pós-Graduação;Não;4554.57;68.56;Divorciado;Empresário;1;20
48;Superior;Não;1969.08;38.94;Solteiro;Engenheiro;1;24
49;Fundamental;Sim;3966.04;46.16;Solteiro;Outros;1;9
50;Médio;Sim;6264.02;20.41;Solteiro;Advogado;3;22
51;Fundamental;Não;7023.3;73.63;Solteiro;Engenheiro;2;15
52;Pós-Graduação;Não;9819.53;22.39;Solteiro;Outros;2;22
53;Superior;Sim;2478.9;74.07;Viúvo;Estudante;2;24
54;Médio;Não;7024.85;50.42;Solteiro;Médico;3;27
55;Superior;Sim;8039.42;33.75;Viúvo;Médico;1;10
56;Superior;Sim;8851.64;51.47;Divorciado;Estudante;2;17
57;Pós-Graduação;Não;1784.38;50.31;Viúvo;Artista;1;18
58;Fundamental;Sim;3585.97;75.0;Solteiro;Artista;1;5
59;Pós-Graduação;Sim;8750.73;59.68;Divorciado;Estudante;1;11
60;Pós-Graduação;Não;7777.91;19.76;Viúvo;Médico;1;11
61;Superior;Não;4752.28;67.96;Casado;Artista;3;8
62;Fundamental;Sim;5492.6;30.3;Viúvo;Artista;0;19
63;Médio;Não;5694.5;65.29;Divorciado;Outros;3;12
64;Fundamental;Não;1704.78;51.93;Casado;Empresário;1;2
65;Superior;Sim;5277.83;67.56;Casado;Engenheiro;1;19
66;Fundamental;Sim;2398.35;68.41;Viúvo;Médico;2;23
67;Superior;Sim;1052.94;79.09;Divorciado;Engenheiro;2;22
68;Médio;Não;5602.12;79.22;Casado;Advogado;2;1
69;Pós-Graduação;Sim;2705.69;41.54;Casado;Artista;0;14
70;Fundamental;Não;3772.9;67.49;Divorciado;Advogado;1;8
71;Superior;Sim;4107.5;61.6;Solteiro;Engenheiro;2;8
72;Pós-Graduação;Não;1119.28;33.48;Solteiro;Professor;1;12
73;Médio;Sim;2185.04;60.53;Casado;Professor;0;24
74;Pós-Graduação;Não;7762.26;66.53;Divorciado;Engenheiro;1;25
75;Médio;Sim;6906.74;51.31;Casado;Advogado;0;25
76;Médio;Sim;8708.23;61.28;Solteiro;Professor;3;6
77;Pós-Graduação;Sim;4225.26;70.43;Solteiro;Estudante;0;10
78;Pós-Graduação;Sim;9681.37;58.43;Divorciado;Professor;0;25
79;Pós-Graduação;Não;8640.37;23.95;Solteiro;Estudante;2;17
80;Fundamental;Não;8398.15;49.66;Viúvo;Empresário;2;7
81;Fundamental;Não;3918.64;58.45;Solteiro;Engenheiro;1;18
82;Médio;Sim;1769.63;62.71;Divorciado;Estudante;3;22
83;Pós-Graduação;Sim;2823.91;41.02;Viúvo;Empresário;1;12
84;Médio;Sim;4702.16;55.28;;Engenheiro;2;3
85;Fundamental;Sim;7260.68;43.67;Viúvo;Estudante;0;27
86;Superior;Não;7007.5;46.5;Viúvo;Advogado;0;26
87;Superior;Não;9954.18;29.96;Viúvo;Professor;3;22
88;Superior;Sim;1487.63;27.37;Solteiro;Médico;3;16
89;Pós-Graduação;Não;4121.94;74.8;Solteiro;Outros;3;5
90;Pós-Graduação;Não;2886.86;46.61;Casado;Advogado;0;13
91;Fundamental;Não;8720.75;76.55;Solteiro;Artista;0;3
92;Fundamental;Sim;4148.12;56.92;Viúvo;Engenheiro;1;11
93;Fundamental;Sim;2531.16;47.72;Viúvo;Engenheiro;2;16
94;Superior;Não;2997.63;23.62;Divorciado;Advogado;2;8
95;Fundamental;Sim;1075.03;72.87;Divorciado;Engenheiro;3;21
96;Fundamental;Não;5743.56;44.69;Casado;Estudante;2;23
97;Pós-Graduação;Não;4721.76;54.81;Divorciado;Médico;3;16
98;Fundamental;Sim;4243.71;29.28;Viúvo;Empresário;2;27
99;Pós-Graduação;Sim;8696.62;77.14;Solteiro;Médico;0;12
100;Fundamental;Sim;7695.48;21.37;Viúvo;Empresário;0;8
101;Pós-Graduação;Não;8461.41;41.99;Viúvo;Empresário;3;11
102;Fundamental;Sim;1109.67;60.55;Casado;Advogado;1;8
103;Superior;Sim;7252.29;20.89;Viúvo;Médico;0;23
104;Superior;Não;2049.68;75.68;Solteiro;Empresário;0;3
105;Pós-Graduação;Não;3524.1;61.71;Solteiro;Artista;1;13
106;Fundamental;Não;1646.82;78.43;Viúvo;Médico;3;4
107;Superior;Sim;6061.22;42.04;Casado;Empresário;2;6
108;Pós-Graduação;Sim;2579.3;70.09;Viúvo;Estudante;3;24
109;Superior;Não;6986.56;73.07;Viúvo;Engenheiro;3;2
110;Fundamental;Não;8715.33;66.53;Solteiro;Empresário;3;7
111;Médio;Sim;2648.73;32.7;Solteiro;Empresário;1;15
112;Pós-Graduação;Não;5158.1;40.14;Solteiro;Empresário;2;27
113;Fundamental;Sim;5314.62;65.68;Divorciado;Artista;3;11
114;Médio;Não;5469.51;55.83;Casado;Estudante;1;16
